Rehabber,Age,AgeCode,Diagnosis,DiagnosisCode,Disposition,DisCode,SkywayCode
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SSS,Immature,1,Fishing Related,1,Released,3,0
SOS,Immature,1,Fishing Related,1,Released,3,0
